video_id,channel_id,published_date,category_name,duration,tags,description,on_trending_date,off_trending_date,on_rank,off_rank,on_views,off_views,on_likes,off_likes,on_dislikes,off_dislikes,on_comments,off_comments,on_channel_subscribers,off_channel_subscribers,on_channel_total_views,off_channel_total_views,on_channel_total_videos,off_channel_total_videos
V-0db,CH49ta0,2021-07-01,Entertainment,PT8M20S,SiriusXM|Sirius XM|Sirius|SXM|BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄|butter performance|dynamite performance|bts performance|bts live|butter live performance|dynamite live performance|bts live performance|bts 2021 performance|bts interview|bts hits1|bts bff speed round|jimin|jin|jungkook|j-hope|suga|RM|bts awards show|bts morning mashup|butter 2021 performance|dynamite 2021 performance|bts butter reaction|bts dancing,BTS performs their hit songs ‘Dynamite’ and ‘Butter’ for SiriusXM Hits1.0:00 Intro and Interview1:00 'Dynamite' Performance4:32 'Butter' PerformanceHear more from SiriusXM Hits1 on our app! Click here for your trial subscription: https://siriusxm.com/yt/freetrialSubscribe to SiriusXM on YouTube: http://www.youtube.com/siriusxmConnect with SiriusXM OnlineFacebook: http://www.facebook.com/siriusxmTwitter: http://www.twitter.com/siriusxmInstagram: http://www.instagram.com/siriusxm#SiriusXM #Sirius #SXM,2021-07-03,2021-07-04,13,28,1659484,1912983,270004,282204,792,1014,10373,10720,1080000,1080000,685992413,687485021,5947,5950
V-1XL,CHZVD--,2021-06-24,Entertainment,PT9M17S,치킨불냉면|치킨|불냉면|냉면,영상에 나오는 캐릭터의 이름은 파도비 입니다. 고양이가 아니라 파란 도깨비입니다. #수다면#치킨불냉면BGM:유료 음원사이트 Artlist 를 이용했습니다. 아래 URL을 통해 가입하시면 저와 가입하신분 모두에게 2개월 추가 혜택이 있습니다. https://artlist.io/gwana-1871475,2021-06-26,2021-06-27,28,45,293559,374698,7121,8165,121,154,1083,1173,627000,628000,75327083,75685030,70,70
V-4fa,CH9w-h_,2021-07-17,Entertainment,PT7M39S,,"거세 구형, 성 충동 제거를 위한 엄벌 치료 VS 인권 보호해야고민 끝에 내린 강요한의 서프라이즈(?) 판결내가 '악마판사'라면!? 이제 당신이 직접 심판하라!☞https://bit.ly/3htbJF5티빙 바로가기 ☞ https://dooo.us/CKXXlj[악마판사] the Devil Judge 토/일 밤 9시 tvN 본 방송#지성 #김민정 #진영 #박규영 #재판요약 #하이라이트 #사이다 #티빙에서스트리밍",2021-07-19,2021-07-22,1,23,451260,757265,3994,5684,162,233,696,1006,5750000,5750000,5424167911,5431617741,34270,34341
V-5ip,CHUQVGX,2021-06-02,Sports,PT6M40S,News Network|SBS SPORTSMUG|SPORTSMUG|스포츠머그|축구|올림픽|도쿄올림픽|올림픽 축구 대표팀|기록|역사|김학범|김학범호|축구대표팀,"세계 최초 9회 연속 올림픽 본선 진출! 그동안 한국 축구의 역사를 써내려 간 올림픽 대표팀은 잘 알려져 있지 않는 이색 기록과 재미있는 비하인드가 차곡차곡 쌓여 있는데요, 스포츠머그에서 어떤 스토리가 있는지 정리했습니다.역대 올림픽 축구 대표팀 레전드급(?) 비하인드 모음 / 스포츠머그🥇스포츠는 뭐다? ▶ 스포츠머그 SPORTSMUG#스포츠머그 #올림픽 #축구 #SMG▶스포츠머그 채널 구독하기 : http://n.sbs.co.kr/sportsMugTube▶Homepage : https://n.sbs.co.kr/videomug▶Facebook : https://www.facebook.com/videomug▶Twitter : https://twitter.com/videomug_sbs",2021-06-04,2021-06-04,18,18,216446,216446,1158,1158,30,30,416,416,94200,94200,71160125,71160125,224,224
V-5jn,CHhI3EX,2021-07-06,Sports,PT11M27S,이천수|심판도전기|축구심판,찾아 뵐 심판분들이 이제 18명정도 남았네요,2021-07-08,2021-07-09,11,29,631598,829677,3839,4494,112,143,687,772,47600,49200,6993451,7607123,21,21
V-6aV,CHaO6TY,2021-06-28,Music,PT3M41S,JYP Entertainment|JYP|2PM|투피엠|2PM Teaser Video|2PM 티저 영상|투피엠 Teaser|JUN. K|택연|준호|우영|찬성|닉쿤|준케이|옥택연|Junho|장우영|Wooyoung|Chansung|2PM 택연|2PM 준호|2PM 우영|2PM 찬성|2PM 닉쿤|2PM JUN. K|투피엠 택연|투피엠 준호|투피엠 우영|투피엠 찬성|투피엠 닉쿤|투피엠 준케이|투피엠 티저|2PM MUST|투피엠 머스트|투피엠 컴백|2PM 컴백|2PM COMEBACK|MUST|2PM 7th album|투피엠 must|2PM 완전체|투피엠 완전체|투피엠 우리집|우리집|투피엠 컴눈명|2pm|해야해 뮤비|해야 해 MV|투피엠 해야해|2PM 해야해|해야 해|투피엠 슈돌|투피엠 컴백쇼|투피엠 해야 해|해야해|Make it|2PM Make it,2PM 해야 해 M/V2PM THE 7TH ALBUM ＜MUST＞iTunes & Apple Music: https://apple.co/36bfoSVSpotify: https://spoti.fi/2Sz8vaI2PM Official Facebook: http://www.facebook.com/2pm.jype2PM Official Twitter: http://www.twitter.com/follow_2pm2PM Official Instagram: https://www.instagram.com/real_2pmstagram2PM Official Fan's: http://fans.jype.com2PM Official Homepage: http://2pm.jype.com#2PM #투피엠#MUST#해야해 #MakeitCopyrights 2021 ⓒ JYP Entertainment. All Rights Reserved.,2021-06-30,2021-06-30,14,14,10638842,10638842,442766,442766,1993,1993,38182,38182,21200000,21200000,13309923510,13309923510,1297,1297
V-8SN,CHtCiO5,2021-07-06,Music,PT20M22S,딩고뮤직|dingo|dingomusic|music|kpop|live|멜론|세로라이브|최신가요|top100|아이돌|라이브|음악|딩고|슈퍼주니어|superjunior|광화문에서|규현|투게더|신곡|슬기로운의사생활|취향저격그녀|웹툰ost|ost|kpoplive|smtown|sm|smplaylist,"규현 킬링목소리(보이스),,, 그게 좋은거야,,,💙[킬링보이스 규현 세트리스트]0:00 광화문에서 (At Gwanghwamun)3:00 오프닝 인사 3:36 내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)4:54 Dreaming6:06 밀리언조각 (A Million Pieces)8:06 여전히 아늑해 (Prod.by 성시경)(Still)9:34 화려하지 않은 고백12:03 그게 좋은거야(Time with you)13:43 내 마음을 누르는 일 (Daystar)15:48 Eternal Sunshine17:11 투게더 (Together) New!▶딩고뮤직 (Dingo Music) : http://bit.ly/Dingo__Music▶딩고프리스타일 (Dingo Freestyle) : http://bit.ly/Dingo__Freestyle▶일소라 (일반인들의 소름돋는 라이브) : http://bit.ly/ilsoracontact : musicbiz@makeus.com#규현 #KYUHYUN #투게더#딩고뮤직 #DingoMusic #슈퍼주니어 #SUPERJUNIOR #킬링보이스",2021-07-08,2021-07-09,35,28,460197,632593,27364,32804,125,164,3343,3846,3160000,3160000,1131783514,1133143850,1518,1518
V-A3g,CHYgUhR,2021-04-30,Entertainment,PT12M5S,와썹맨|와썹맨2|wassupman|스튜디오룰루랄라|studiolululala|핫플|핫플레이스|hot|place|리뷰|review|먹방|food|best|mukbang|음식|추천|인터뷰|interview|티저|예고|박준형|god|예능|웃음|재미|ㅋㅋㅋ|웃음참기|웃긴|레전드|예능레전드|아이돌|맛집|국밥|가성비|명동|서울갈만한곳|갈만한곳,*본 영상은 '코카콜라'의 유료광고를 포함하고 있습니다👉와썹맨 공식 틱톡(TikTok) : https://www.tiktok.com/@wassupman_lul...​👉Wassup Man's official TikTok : https://www.tiktok.com/@wassupman_lul...​✅매주 금요일오후 5시!구독! 팔로우!댓글! 알람!!래쓰기릿~넷플릭스 [와썹맨 GO!]보러가기 ▶bit.ly/wassupmango✅Every Friday at 5 PM KST! Subscribe! Follow! Reply! Alarm!! Let's get it~Netflix [Wassup Man GO!] ▶bit.ly/wassupmango#와썹맨2​ #박준형​ #먹방 #코카콜라제로 #명동 #맛집 #mukbang #핫플레이스,2021-05-02,2021-05-02,28,28,370691,370691,6941,6941,102,102,518,518,2340000,2340000,296394635,296394635,167,167
V-BJt,CHbD8Ep,2021-07-29,Entertainment,PT6M21S,엠넷|mnet|kpop|k-pop|엠카운트다운|엠카|m countdown|mcd,"[Girls Planet 999] ‘O.O.O’ Performance (99인 ver.)꿈을 향한 99명 소녀들의시그널송 무대 大.공.개〈걸스플래닛999 : 소녀대전〉8월 6일 금요일 밤 8시 20분(KST) 첫방송+ Facebook : https://facebook.com/girlsplanet999+ Instagram: https://instagram.com/girlsplanet999+ Twitter : https://twitter.com/_girlsplanet999+ NAVER TV : https://tv.naver.com/cjenm.girlsplane...+ YouTube :  https://www.youtube.com/c/Mnet/videos더 많은 정보는 공식 홈페이지(https://girlsplanet999.com)에서 확인하세요!〈걸스플래닛999 : 소녀대전〉은 일본 ABEMA, 동남아시아 iQiyi 독점 방영 예정입니다.#girlsplanet999 #걸스플래닛999 #소녀대전 #TheGirlsSaga #globalaudition #OOO #Over_Over_Over #CJLiveCity #Mnet #엠넷",2021-07-31,2021-07-31,17,17,1204873,1204873,65435,65435,1974,1974,8890,8890,18300000,18300000,12747862854,12747862854,25059,25059
V-DeS,CHUXYT0,2021-05-15,Entertainment,PT59M18S,,,2021-05-18,2021-05-19,7,25,789397,863762,6993,7326,357,373,3406,3508,172000,215000,83802043,83802043,1193,1195
